yintercept	key	showSelected1	PANEL
-4.36308800081682	1	0	1
-14.866871716291	1	1	1
-13.7666201377043	1	2	1
-20.2113987438749	1	3	1
-3.96346827727043	1	4	1
-2.9410522063061	1	5	1
-3.19063070040561	1	6	1
-3.45218486942137	1	7	1
-2.59243010374958	1	8	1
-2.53737352614442	1	9	1
-2.49477323764678	1	10	1
-2.33175016969266	1	11	1
-2.01753639739333	1	12	1
-1.89369768519085	1	13	1
-1.85373556987285	1	14	1
-1.51056857654334	1	15	1
-1.27576224149313	1	16	1
-0.994445695115907	1	17	1
-0.964159452939027	1	18	1
-0.924141962333286	1	19	1
-0.512149172360554	1	20	1
-0.377053213094949	1	21	1
-0.377053213094949	1	22	1
-0.241572567811714	1	23	1
-4.36308800081682	1	0	2
-14.866871716291	1	1	2
-13.7666201377043	1	2	2
-20.2113987438749	1	3	2
-3.96346827727043	1	4	2
-2.9410522063061	1	5	2
-3.19063070040561	1	6	2
-3.45218486942137	1	7	2
-2.59243010374958	1	8	2
-2.53737352614442	1	9	2
-2.49477323764678	1	10	2
-2.33175016969266	1	11	2
-2.01753639739333	1	12	2
-1.89369768519085	1	13	2
-1.85373556987285	1	14	2
-1.51056857654334	1	15	2
-1.27576224149313	1	16	2
-0.994445695115907	1	17	2
-0.964159452939027	1	18	2
-0.924141962333286	1	19	2
-0.512149172360554	1	20	2
-0.377053213094949	1	21	2
-0.377053213094949	1	22	2
-0.241572567811714	1	23	2
